dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
oml_dataset_51_rnc,S,Random,0,1136,5,18,15,4
oml_dataset_51_rnc,SDVC,Random,0,1369,5,18,15,4
oml_dataset_51_rnc,SMVF,Random,0,1530,5,18,15,4
oml_dataset_51_rnc,SSN,Random,0,1988,5,18,15,4
oml_dataset_51_rnc,SCV,Random,0,1491,5,18,15,4
oml_dataset_51_rnc,SDVCMVF,Random,0,1809,5,18,15,4
oml_dataset_51_rnc,SDVCSN,Random,0,2225,5,18,15,4
oml_dataset_51_rnc,SMVFSN,Random,0,2385,5,18,15,4
oml_dataset_51_rnc,SMVFCV,Random,0,1888,5,18,15,4
oml_dataset_51_rnc,SSNCV,Random,0,2347,5,18,15,4
oml_dataset_51_rnc,ALL,Random,0,2713,5,18,15,4
