dataset,time
simulated_electricity,4403
KDD98,12203
Higgs,63716
airlines,1321
BNG_credit_g,2818
Microsoft,18498
cmc,917
diabetes,854
3-million-Sudoku-puzzles-with-ratings,7907
pokerhand,1391
Buzzinsocialmedia_Twitter,6189
delays_zurich_transport,5342
nyc-taxi-green-dec-2016,1568
black_friday,1416
federal_election,13301
