dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
PASS,S,Random,0,975,0,0,2,4
PASS,SDVC,Random,0,1039,0,0,2,4
PASS,SMVF,Random,0,1054,0,0,2,4
PASS,SSN,Random,0,1045,0,0,2,4
PASS,SCV,Random,0,999,0,0,2,4
PASS,SDVCMVF,Random,0,1129,0,0,2,4
PASS,SDVCSN,Random,0,1113,0,0,2,4
PASS,SMVFSN,Random,0,1127,0,0,2,4
PASS,SMVFCV,Random,0,1081,0,0,2,4
PASS,SSNCV,Random,0,1073,0,0,2,4
PASS,ALL,Random,0,1163,0,0,2,4
PASS,CatDB,Random,0,1212,0,0,2,4
