dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
BNG_heart-statlog,S,Random,0,1050,3,4,6,1
BNG_heart-statlog,SDVC,Random,0,1146,3,4,6,1
BNG_heart-statlog,SMVF,Random,0,1192,3,4,6,1
BNG_heart-statlog,SSN,Random,0,1327,3,4,6,1
BNG_heart-statlog,SCV,Random,0,1130,3,4,6,1
BNG_heart-statlog,SDVCMVF,Random,0,1306,3,4,6,1
BNG_heart-statlog,SDVCSN,Random,0,1427,3,4,6,1
BNG_heart-statlog,SMVFSN,Random,0,1472,3,4,6,1
BNG_heart-statlog,SMVFCV,Random,0,1275,3,4,6,1
BNG_heart-statlog,SSNCV,Random,0,1411,3,4,6,1
BNG_heart-statlog,ALL,Random,0,1561,3,4,6,1
BNG_heart-statlog,CatDB,Random,0,1564,3,4,6,1
