dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
oml_dataset_26_rnc,S,Random,0,1142,0,4,18,18
oml_dataset_26_rnc,SDVC,Random,0,1379,0,4,18,18
oml_dataset_26_rnc,SMVF,Random,0,1518,0,4,18,18
oml_dataset_26_rnc,SSN,Random,0,1750,0,4,18,18
oml_dataset_26_rnc,SCV,Random,0,1342,0,4,18,18
oml_dataset_26_rnc,SDVCMVF,Random,0,1799,0,4,18,18
oml_dataset_26_rnc,SDVCSN,Random,0,1991,0,4,18,18
oml_dataset_26_rnc,SMVFSN,Random,0,2129,0,4,18,18
oml_dataset_26_rnc,SMVFCV,Random,0,1721,0,4,18,18
oml_dataset_26_rnc,SSNCV,Random,0,1954,0,4,18,18
oml_dataset_26_rnc,ALL,Random,0,2404,0,4,18,18
