dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
jungle_chess_2pcs_raw_endgame_complete,YES,S,Random,0,1383,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,SDVC,Random,0,1438,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,SMVF,Random,0,1462,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,SSN,Random,0,1574,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,SCV,Random,0,1455,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,SDVCMVF,Random,0,1528,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,SDVCSN,Random,0,1633,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,SMVFSN,Random,0,1656,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,SMVFCV,Random,0,1537,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,SSNCV,Random,0,1650,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,ALL,Random,0,1701,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,YES,CatDB,Random,0,1720,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,S,Random,0,1053,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,SDVC,Random,0,1108,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,SMVF,Random,0,1132,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,SSN,Random,0,1244,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,SCV,Random,0,1125,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,SDVCMVF,Random,0,1198,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,SDVCSN,Random,0,1303,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,SMVFSN,Random,0,1326,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,SMVFCV,Random,0,1207,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,SSNCV,Random,0,1320,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,ALL,Random,0,1371,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,NO,CatDB,Random,0,1390,0,7,0,0
