dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
diabetes,YES,S,Random,0,1867,1,6,2,0
diabetes,YES,SDVC,Random,0,1932,1,6,2,0
diabetes,YES,SMVF,Random,0,1964,1,6,2,0
diabetes,YES,SSN,Random,0,2097,1,6,2,0
diabetes,YES,SCV,Random,0,1891,1,6,2,0
diabetes,YES,SDVCMVF,Random,0,2042,1,6,2,0
diabetes,YES,SDVCSN,Random,0,2166,1,6,2,0
diabetes,YES,SMVFSN,Random,0,2197,1,6,2,0
diabetes,YES,SMVFCV,Random,0,1991,1,6,2,0
diabetes,YES,SSNCV,Random,0,2125,1,6,2,0
diabetes,YES,ALL,Random,0,2234,1,6,2,0
diabetes,YES,CatDB,Random,0,2218,1,6,2,0
diabetes,NO,S,Random,0,1031,1,6,2,0
diabetes,NO,SDVC,Random,0,1096,1,6,2,0
diabetes,NO,SMVF,Random,0,1128,1,6,2,0
diabetes,NO,SSN,Random,0,1261,1,6,2,0
diabetes,NO,SCV,Random,0,1055,1,6,2,0
diabetes,NO,SDVCMVF,Random,0,1206,1,6,2,0
diabetes,NO,SDVCSN,Random,0,1330,1,6,2,0
diabetes,NO,SMVFSN,Random,0,1361,1,6,2,0
diabetes,NO,SMVFCV,Random,0,1155,1,6,2,0
diabetes,NO,SSNCV,Random,0,1289,1,6,2,0
diabetes,NO,ALL,Random,0,1398,1,6,2,0
diabetes,NO,CatDB,Random,0,1382,1,6,2,0
