dataset,time
IMDB.drama,15375
20_newsgroups.drift,29082
Epsilon,190867
prostate,105844
bates_classif_100,108387
simulated_electricity,3730
sf-police-incidents,2821
KDDCup09-Appetency,159032
Higgs,57793
STL-10,108684
Microsoft,17608
CIFAR-100,20445
GTSRB-HOG03,25519
BNG_solar_flare,702
CovPokElec,7137
beer_reviews,3506
Traffic_violations,12868
Buzzinsocialmedia_Twitter,5483
Tallo,1413
NYC,32704
USCars,112202
CanadaPricePrediction,9036
