dataset_name,task_type,status,number_iteration,cleaning_plan,orig_feature_count,clean_feature_count,orig_samples,clean_samples,removed_features,total_time
Airline,multiclass,True,3,DROP->AD->NB,115,115,303294,303294,,11.401859998703003
IMDB-IJS,binary,True,3,DS->ED->LDA,15,15,21371219,21371219,,155.69685125350952
Financial,multiclass,True,3,MR->DS->DROP->LOF->ED->LDA,62,56,386411,260067,card_id#card.type#issued#trans.k_symbol#bank#account,40.41260528564453
EU-IT,multiclass,True,3,ZS->IQR->ED->NB,23,23,872,840,,203.6200683116912842
Etailing,multiclass,True,3,LOF -> NB,44,44,307,219,,330.024721622467041
Yelp,multiclass,True,3,ZS->IQR->ED->NB,194,194,161418,147020,,41400.593812465667725
