dataset_name,CatDB_Before,CatDB_After,CAAFETabPFN,CAAFERandomForest,AIDE,AutoGen,Cleaning
Yelp,584.4,2477.4,0,1029.74,0,322.97,41400.6
EU-IT,4.5,1.4,132.14,238.39,0,0,203.6
Etailing,1.6,1.7,178.94,98.07,40.00,245.57,330.0
Midwest-Survey,1.8,1.4,297.36,114.64,40.00,39.14,2086.8
WiFi,0.8,0.8,86.30,89.52,0,48.92,200.4
Utility,4.2,3.8,0,0,40.00,29.86,863.6
