dataset_name,dataset_name_orig,CatDB,CatDBChain,dataset_load_time,llm_model,has_description,task_type,task,samples
gen_dataset_54-out-0.01-np-0-nc-0-mv-0_rnc,Volkert,5.06,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.02-np-0-nc-0-mv-0_rnc,Volkert,5.52,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,Volkert,4.94,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.04-np-0-nc-0-mv-0_rnc,Volkert,555.13,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.05-np-0-nc-0-mv-0_rnc,Volkert,518.28,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.06-np-0-nc-0-mv-0_rnc,Volkert,49.24,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.07-np-0-nc-0-mv-0_rnc,Volkert,49.69,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.08-np-0-nc-0-mv-0_rnc,Volkert,50.38,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.09-np-0-nc-0-mv-0_rnc,Volkert,563.27,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.1-np-0-nc-0-mv-0_rnc,Volkert,54.60,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,Volkert,5.04,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,Volkert,6.19,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.3_rnc,Volkert,3.67,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.4_rnc,Volkert,2.95,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.5_rnc,Volkert,45.57,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.1_rnc,Volkert,5.80,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.2_rnc,Volkert,51.07,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.3_rnc,Volkert,42.46,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.4_rnc,Volkert,52.47,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.5_rnc,Volkert,6.20,0,2,gemini-1.5-pro-latest,No,multiclass,classification,0
