dataset_name,dataset_name_orig,time,dataset_load_time,llm_model
gen_dataset_54-out-0.01-np-0-nc-0-mv-0_rnc,Volkert,6.16,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.02-np-0-nc-0-mv-0_rnc,Volkert,4.05,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,Volkert,50.72,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.04-np-0-nc-0-mv-0_rnc,Volkert,6.00,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.05-np-0-nc-0-mv-0_rnc,Volkert,4.58,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.06-np-0-nc-0-mv-0_rnc,Volkert,47.64,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.07-np-0-nc-0-mv-0_rnc,Volkert,48.14,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.08-np-0-nc-0-mv-0_rnc,Volkert,52.78,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.09-np-0-nc-0-mv-0_rnc,Volkert,48.62,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.1-np-0-nc-0-mv-0_rnc,Volkert,45.06,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,Volkert,5.99,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,Volkert,6.32,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0-np-1-nc-180-mv-0.3_rnc,Volkert,14.09,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0-np-1-nc-180-mv-0.4_rnc,Volkert,7.70,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0-np-1-nc-180-mv-0.5_rnc,Volkert,3.06,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.1_rnc,Volkert,36.88,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.2_rnc,Volkert,100.59,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.3_rnc,Volkert,140.80,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.4_rnc,Volkert,8.58,2.5,gemini-1.5-pro-latest
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.5_rnc,Volkert,19.84,2.5,gemini-1.5-pro-latest
