dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
credit-g,S,Random,0,1048,3,18,0,0
credit-g,SDVC,Random,0,1173,3,18,0,0
credit-g,SMVF,Random,0,1253,3,18,0,0
credit-g,SSN,Random,0,1517,3,18,0,0
credit-g,SCV,Random,0,1208,3,18,0,0
credit-g,SDVCMVF,Random,0,1403,3,18,0,0
credit-g,SDVCSN,Random,0,1646,3,18,0,0
credit-g,SMVFSN,Random,0,1725,3,18,0,0
credit-g,SMVFCV,Random,0,1416,3,18,0,0
credit-g,SSNCV,Random,0,1681,3,18,0,0
credit-g,ALL,Random,0,1873,3,18,0,0
credit-g,CatDB,Random,0,1808,3,18,0,0
