dataset,task_type,platform,time
Balance-Scale,multiclass,kglidsplus,56895
Breast-w,binary,kglidsplus,41672
CMC,multiclass,kglidsplus,35527
Credit-g,binary,kglidsplus,59704
Diabetes,binary,kglidsplus,42861
Tic-Tac-Toe,binary,kglidsplus,48647
Eucalyptus,multiclass,kglidsplus,45587
PC1,binary,kglidsplus,36216
Jungle-Chess,multiclass,kglidsplus,46966
Higgs,binary,kglidsplus,299742
Skin,binary,kglidsplus,50905
Traffic,multiclass,kglidsplus,266684
Walking-Activity,multiclass,kglidsplus,44722
Black-Friday,regression,kglidsplus,45166
Bike-Sharing,regression,kglidsplus,36456
House-Sales,regression,kglidsplus,36781
NYC,regression,kglidsplus,42220
Airlines-DepDelay,regression,kglidsplus,125131
