dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
okcupid-stem,YES,S,Random,0,1441,0,3,0,17
okcupid-stem,YES,SDVC,Random,0,1562,0,3,0,17
okcupid-stem,YES,SMVF,Random,0,1637,0,3,0,17
okcupid-stem,YES,SSN,Random,0,1537,0,3,0,17
okcupid-stem,YES,SCV,Random,0,1609,0,3,0,17
okcupid-stem,YES,SDVCMVF,Random,0,1782,0,3,0,17
okcupid-stem,YES,SDVCSN,Random,0,1662,0,3,0,17
okcupid-stem,YES,SMVFSN,Random,0,1736,0,3,0,17
okcupid-stem,YES,SMVFCV,Random,0,1808,0,3,0,17
okcupid-stem,YES,SSNCV,Random,0,1709,0,3,0,17
okcupid-stem,YES,ALL,Random,0,1883,0,3,0,17
okcupid-stem,YES,CatDB,Random,0,1826,0,3,0,17
okcupid-stem,NO,S,Random,0,1069,0,3,0,17
okcupid-stem,NO,SDVC,Random,0,1190,0,3,0,17
okcupid-stem,NO,SMVF,Random,0,1265,0,3,0,17
okcupid-stem,NO,SSN,Random,0,1165,0,3,0,17
okcupid-stem,NO,SCV,Random,0,1237,0,3,0,17
okcupid-stem,NO,SDVCMVF,Random,0,1410,0,3,0,17
okcupid-stem,NO,SDVCSN,Random,0,1290,0,3,0,17
okcupid-stem,NO,SMVFSN,Random,0,1364,0,3,0,17
okcupid-stem,NO,SMVFCV,Random,0,1436,0,3,0,17
okcupid-stem,NO,SSNCV,Random,0,1337,0,3,0,17
okcupid-stem,NO,ALL,Random,0,1511,0,3,0,17
okcupid-stem,NO,CatDB,Random,0,1454,0,3,0,17
