dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
PASS,YES,S,Random,0,1069,0,0,2,4
PASS,YES,SDVC,Random,0,1133,0,0,2,4
PASS,YES,SMVF,Random,0,1148,0,0,2,4
PASS,YES,SSN,Random,0,1139,0,0,2,4
PASS,YES,SCV,Random,0,1093,0,0,2,4
PASS,YES,SDVCMVF,Random,0,1223,0,0,2,4
PASS,YES,SDVCSN,Random,0,1207,0,0,2,4
PASS,YES,SMVFSN,Random,0,1221,0,0,2,4
PASS,YES,SMVFCV,Random,0,1175,0,0,2,4
PASS,YES,SSNCV,Random,0,1167,0,0,2,4
PASS,YES,ALL,Random,0,1257,0,0,2,4
PASS,YES,CatDB,Random,0,1306,0,0,2,4
PASS,NO,S,Random,0,1029,0,0,2,4
PASS,NO,SDVC,Random,0,1093,0,0,2,4
PASS,NO,SMVF,Random,0,1108,0,0,2,4
PASS,NO,SSN,Random,0,1099,0,0,2,4
PASS,NO,SCV,Random,0,1053,0,0,2,4
PASS,NO,SDVCMVF,Random,0,1183,0,0,2,4
PASS,NO,SDVCSN,Random,0,1167,0,0,2,4
PASS,NO,SMVFSN,Random,0,1181,0,0,2,4
PASS,NO,SMVFCV,Random,0,1135,0,0,2,4
PASS,NO,SSNCV,Random,0,1127,0,0,2,4
PASS,NO,ALL,Random,0,1217,0,0,2,4
PASS,NO,CatDB,Random,0,1266,0,0,2,4
