dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,1,0,No,0,0,330.461061239242,330.411496162414,0.982041863556698,0.982041863556698,0.982041863556698,0.914920631051064,-2,-2,-2,-2,0.745566873650899,0.745566873650899,0.745566873650899,0.71928571164608,-2,-2,-2,-2,1961,1961,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,2,0,No,0,0,330.461061239242,330.411496162414,0.980475947224972,0.980475947224972,0.980475947224972,0.907619035243988,-2,-2,-2,-2,0.747965534001206,0.747965534001206,0.747965534001206,0.71928571164608,-2,-2,-2,-2,1961,4079,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,3,0,No,0,0,330.461061239242,330.411496162414,0.961914398785575,0.961914398785575,0.961914398785575,0.879999986290932,-2,-2,-2,-2,0.748466066856349,0.748466066856349,0.748466066856349,0.716428562998772,-2,-2,-2,-2,1961,6312,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,4,0,No,0,0,330.461061239242,330.411496162414,0.95031704931934,0.95031704931934,0.95031704931934,0.866904756426811,-2,-2,-2,-2,0.746741999797869,0.746741999797869,0.746741999797869,0.723571428656578,-2,-2,-2,-2,1961,8706,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,5,0,No,0,0,330.461061239242,330.411496162414,0.981879521646645,0.981879521646645,0.981879521646645,0.911904755234718,-2,-2,-2,-2,0.749652787920824,0.749652787920824,0.749652787920824,0.722857147455215,-2,-2,-2,-2,1961,11241,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,6,0,No,0,0,330.461061239242,330.411496162414,0.984175205382656,0.984175205382656,0.984175205382656,0.911507925391197,-2,-2,-2,-2,0.750498344381183,0.750498344381183,0.750498344381183,0.71785714328289,-2,-2,-2,-2,1961,13883,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,7,0,No,0,0,330.461061239242,330.411496162414,0.972906852563404,0.972906852563404,0.972906852563404,0.89126982986927,-2,-2,-2,-2,0.748069837844443,0.748069837844443,0.748069837844443,0.721428573131561,-2,-2,-2,-2,1961,16679,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,8,0,No,0,0,330.461061239242,330.411496162414,0.930562237121284,0.930562237121284,0.930562237121284,0.840952378511429,-2,-2,-2,-2,0.747290182267906,0.747290182267906,0.747290182267906,0.717142862081528,-2,-2,-2,-2,1961,19629,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,9,0,No,0,0,330.461061239242,330.411496162414,0.981564780283578,0.981564780283578,0.981564780283578,0.906349197030067,-2,-2,-2,-2,0.748778677953961,0.748778677953961,0.748778677953961,0.720000001788139,-2,-2,-2,-2,1961,22675,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,10,0,No,0,0,330.461061239242,330.411496162414,0.979457111651268,0.979457111651268,0.979457111651268,0.903095224499702,-2,-2,-2,-2,0.74899088912132,0.74899088912132,0.74899088912132,0.721428576111794,-2,-2,-2,-2,1961,25875,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,11,0,No,0,0,369.7940876483917,369.74717926979065,0.948771669963652,0.948771669963652,0.948771669963652,0.8657143115997314,-2,-2,-2,-2,0.7631316052368684,0.7631316052368684,0.7631316052368684,0.7333333492279053,-2,-2,-2,-2,1961,1961,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,12,0,No,0,0,369.7940876483917,369.74717926979065,0.948771669963652,0.948771669963652,0.948771669963652,0.8657143115997314,-2,-2,-2,-2,0.7631316052368684,0.7631316052368684,0.7631316052368684,0.7333333492279053,-2,-2,-2,-2,1961,4224,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,13,0,No,0,0,369.7940876483917,369.74717926979065,0.948771669963652,0.948771669963652,0.948771669963652,0.8657143115997314,-2,-2,-2,-2,0.7631316052368684,0.7631316052368684,0.7631316052368684,0.7333333492279053,-2,-2,-2,-2,1961,6704,Run-CAAFE,0,Credit-g,3
oml_dataset_4_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,14,0,No,0,0,369.7940876483917,369.74717926979065,0.982098831600386,0.982098831600386,0.982098831600386,0.9071428775787354,-2,-2,-2,-2,0.7659182922340817,0.7659182922340817,0.7659182922340817,0.7333333492279053,-2,-2,-2,-2,1961,9360,Run-CAAFE,0,Credit-g,3
