dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
dataset_5,Conf-1,Random,0,872,0,2,7,0
dataset_5,Conf-2,Random,0,944,0,2,7,0
dataset_5,Conf-3,Random,0,973,0,2,7,0
dataset_5,Conf-4,Random,0,1120,0,2,7,0
dataset_5,Conf-5,Random,0,908,0,2,7,0
dataset_5,Conf-6,Random,0,1059,0,2,7,0
dataset_5,Conf-7,Random,0,1226,0,2,7,0
dataset_5,Conf-8,Random,0,1014,0,2,7,0
dataset_5,Conf-9,Random,0,1161,0,2,7,0
dataset_5,Conf-10,Random,0,1264,0,2,7,0
