dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
Financial,CAAFE,,gpt-4o,RandomForest,multiclass,True,1,0,No,0,0,1224.6298274993896,1213.7474765777588,0.8182474519399245,0.8182474519399245,0.8524825398904073,0.7929975986480713,-2,-2,-2,-2,0.8180839881796166,0.8180839881796166,0.8524521069952704,0.7948866486549377,-2,-2,-2,-2,4902,4902,Run-CAAFE
Accidents,CAAFE,,gpt-4o,RandomForest,multiclass,True,1,0,No,0,0,2761.7617201805115,2676.7309443950653,0.7398087193572913,0.7398087193572913,0.8474030340686493,0.67412269115448,-2,-2,-2,-2,0.7389526025429659,0.7389526025429659,0.8462232876783395,0.6717246770858765,-2,-2,-2,-2,3922,3922,Run-CAAFE
Financial,CAAFE,,llama-3.1-70b-versatile,RandomForest,multiclass,True,1,0,No,0,0,1224.6298274993896,1213.7474765777588,0.8182474519399245,0.8182474519399245,0.8624825398904073,0.7929975986480713,-2,-2,-2,-2,0.8180839881796166,0.8180839881796166,0.8594521069952704,0.7948866486549377,-2,-2,-2,-2,5902,5902,Run-CAAFE
Accidents,CAAFE,,llama-3.1-70b-versatile,RandomForest,multiclass,True,1,0,No,0,0,2761.7617201805115,2676.7309443950653,0.7398087193572913,0.7398087193572913,0.8574030340686493,0.67412269115448,-2,-2,-2,-2,0.7389526025429659,0.7389526025429659,0.8402232876783395,0.6717246770858765,-2,-2,-2,-2,4922,4922,Run-CAAFE

