dataset,task_type,platform,time
gen_dataset_54-out-0.01-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,58648
gen_dataset_54-out-0.02-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,56536
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,58385
gen_dataset_54-out-0.4-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,59722
gen_dataset_54-out-0.05-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,58644
gen_dataset_54-out-0.06-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,61586
gen_dataset_54-out-0.07-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,58701
gen_dataset_54-out-0.08-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,58161
gen_dataset_54-out-0.09-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,59307
gen_dataset_54-out-0.1-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,58002
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,multiclass,kglidsplus,59192
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,multiclass,kglidsplus,58054
gen_dataset_54-out-0-np-1-nc-180-mv-0.3_rnc,multiclass,kglidsplus,57541
gen_dataset_54-out-0-np-1-nc-180-mv-0.4_rnc,multiclass,kglidsplus,56948
gen_dataset_54-out-0-np-1-nc-180-mv-0.5_rnc,multiclass,kglidsplus,55961
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.1_rnc,multiclass,kglidsplus,58948
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.2_rnc,multiclass,kglidsplus,57345
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.3_rnc,multiclass,kglidsplus,58183
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.4_rnc,multiclass,kglidsplus,56741
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.5_rnc,multiclass,kglidsplus,55429
dataset,task_type,platform,time
gen_dataset_54-out-0.04-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,61398
dataset,task_type,platform,time
gen_dataset_54-out-0.01-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,59708
gen_dataset_54-out-0.02-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,57071
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,60902
gen_dataset_54-out-0.04-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,57212
gen_dataset_54-out-0.05-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,61153
gen_dataset_54-out-0.06-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,58921
gen_dataset_54-out-0.07-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,60226
gen_dataset_54-out-0.08-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,59382
gen_dataset_54-out-0.09-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,60919
gen_dataset_54-out-0.1-np-0-nc-0-mv-0_rnc,multiclass,kglidsplus,59939
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,multiclass,kglidsplus,60674
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,multiclass,kglidsplus,57456
gen_dataset_54-out-0-np-1-nc-180-mv-0.3_rnc,multiclass,kglidsplus,57637
gen_dataset_54-out-0-np-1-nc-180-mv-0.4_rnc,multiclass,kglidsplus,56405
gen_dataset_54-out-0-np-1-nc-180-mv-0.5_rnc,multiclass,kglidsplus,55892
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.1_rnc,multiclass,kglidsplus,59417
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.2_rnc,multiclass,kglidsplus,59831
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.3_rnc,multiclass,kglidsplus,58701
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.4_rnc,multiclass,kglidsplus,57153
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.5_rnc,multiclass,kglidsplus,57850
dataset,task_type,platform,time
dataset,task_type,platform,time
