dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
Higgs,YES,S,Random,0,1591,1,0,28,0
Higgs,YES,SDVC,Random,0,1784,1,0,28,0
Higgs,YES,SMVF,Random,0,1868,1,0,28,0
Higgs,YES,SSN,Random,0,2544,1,0,28,0
Higgs,YES,SCV,Random,0,1782,1,0,28,0
Higgs,YES,SDVCMVF,Random,0,2094,1,0,28,0
Higgs,YES,SDVCSN,Random,0,2741,1,0,28,0
Higgs,YES,SMVFSN,Random,0,2824,1,0,28,0
Higgs,YES,SMVFCV,Random,0,2062,1,0,28,0
Higgs,YES,SSNCV,Random,0,2739,1,0,28,0
Higgs,YES,ALL,Random,0,3046,1,0,28,0
Higgs,YES,CatDB,Random,0,3015,1,0,28,0
Higgs,NO,S,Random,0,1184,1,0,28,0
Higgs,NO,SDVC,Random,0,1377,1,0,28,0
Higgs,NO,SMVF,Random,0,1461,1,0,28,0
Higgs,NO,SSN,Random,0,2137,1,0,28,0
Higgs,NO,SCV,Random,0,1375,1,0,28,0
Higgs,NO,SDVCMVF,Random,0,1687,1,0,28,0
Higgs,NO,SDVCSN,Random,0,2334,1,0,28,0
Higgs,NO,SMVFSN,Random,0,2417,1,0,28,0
Higgs,NO,SMVFCV,Random,0,1655,1,0,28,0
Higgs,NO,SSNCV,Random,0,2332,1,0,28,0
Higgs,NO,ALL,Random,0,2639,1,0,28,0
Higgs,NO,CatDB,Random,0,2608,1,0,28,0
