dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
CMC,multiclass,gpt-4-turbo,No,CatDB,Random,0,1424,3,7,0,0
CMC,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,18540,0,0,0,0
CMC,multiclass,gpt-4-turbo,No,CAAFE,Random,10,11780,0,0,0,0
Credit-g,binary,gpt-4-turbo,Yes,CatDB,Random,0,1920,0,7,0,14
Credit-g,binary,gpt-4-turbo,No,CatDB,Random,0,1548,0,7,0,14
Credit-g,binary,gpt-4-turbo,Yes,CAAFE,Random,10,22290,0,0,0,0
Credit-g,binary,gpt-4-turbo,No,CAAFE,Random,10,18700,0,0,0,0
Diabetes,binary,gpt-4-turbo,Yes,CatDB,Random,0,2283,0,6,2,1
Diabetes,binary,gpt-4-turbo,No,CatDB,Random,0,1362,0,6,2,1
Diabetes,binary,gpt-4-turbo,Yes,CAAFE,Random,10,19770,0,0,0,0
Diabetes,binary,gpt-4-turbo,No,CAAFE,Random,10,10690,0,0,0,0
Tic-Tac-Toe,binary,gpt-4-turbo,Yes,CatDB,Random,0,1499,0,0,0,10
Tic-Tac-Toe,binary,gpt-4-turbo,No,CatDB,Random,0,1197,0,0,0,10
Tic-Tac-Toe,binary,gpt-4-turbo,Yes,CAAFE,Random,10,14340,0,0,0,0
Tic-Tac-Toe,binary,gpt-4-turbo,No,CAAFE,Random,10,11450,0,0,0,0
Eucalyptus,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,2437,0,6,8,6
Eucalyptus,multiclass,gpt-4-turbo,No,CatDB,Random,0,1719,0,6,8,6
Eucalyptus,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,24910,0,0,0,0
Eucalyptus,multiclass,gpt-4-turbo,No,CAAFE,Random,10,17850,0,0,0,0
PC1,binary,gpt-4-turbo,Yes,CatDB,Random,0,2501,1,4,17,0
PC1,binary,gpt-4-turbo,No,CatDB,Random,0,1883,1,4,17,0
PC1,binary,gpt-4-turbo,Yes,CAAFE,Random,10,25430,0,0,0,0
PC1,binary,gpt-4-turbo,No,CAAFE,Random,10,19380,0,0,0,0
Airlines,binary,gpt-4-turbo,Yes,CatDB,Random,0,1376,1,4,0,3
Airlines,binary,gpt-4-turbo,No,CatDB,Random,0,1284,1,4,0,3
Airlines,binary,gpt-4-turbo,Yes,CAAFE,Random,10,10870,0,0,0,0
Airlines,binary,gpt-4-turbo,No,CAAFE,Random,10,10080,0,0,0,0
Jungle-Chess,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,1692,0,6,0,1
Jungle-Chess,multiclass,gpt-4-turbo,No,CatDB,Random,0,1356,0,6,0,1
Jungle-Chess,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,12780,0,0,0,0
Jungle-Chess,multiclass,gpt-4-turbo,No,CAAFE,Random,10,9550,0,0,0,0
