id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,acc,auc,balacc,logloss,models_ensemble_count,acc_final
shuttle,shuttle,TPOT,74s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T19:24:46,154.9,,,,897211113,,,,,,0
APSFailure,APSFailure,AutoGluon,134s,0,binary,0.988106,auc,local,1.0.0,,2.1.7,2024-01-07T19:27:13,141.2,136.6,0.1,11,54020803,0.993509,0.988106,0.872871,0.0204244,3,99.3509
APSFailure,APSFailure,H2OAutoML,134s,0,binary,0.98797,auc,local,3.44.0.3,,2.1.7,2024-01-07T19:29:53,154.2,137.6,0.3,32,715813712,0.99307,0.98797,0.887834,0.0211926,,99.307
APSFailure,APSFailure,mljarsupervised,134s,0,binary,0.983667,auc,local,1.1.1,,2.1.7,2024-01-07T19:32:07,127.7,117.3,0.7,6,1120696669,0.991535,0.983667,0.903405,0.0252464,,99.1535
APSFailure,APSFailure,constantpredictor,134s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T19:32:13,0.9,0.02,0.0002,1,2033646069,0.981579,0.5,0.5,0.091835,,98.1579
APSFailure,APSFailure,RandomForest,134s,0,binary,0.988493,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T19:34:24,125.7,120.3,0.6,1290,384511118,0.993202,0.988493,0.856361,0.0274697,,99.3202
APSFailure,APSFailure,TPOT,134s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T19:39:07,276.5,,,,1476845807,,,,,,0
numerai28.6,numerai28_6,AutoGluon,108s,0,binary,0.527943,auc,local,1.0.0,,2.1.7,2024-01-07T19:41:30,139.1,134.9,0.5,11,925883122,0.518411,0.527943,0.516142,0.691825,5,51.8411
numerai28.6,numerai28_6,H2OAutoML,108s,0,binary,0.529534,auc,local,3.44.0.3,,2.1.7,2024-01-07T19:43:36,121.2,109.3,0.3,20,734438680,0.50744,0.529534,0.499974,0.691647,,50.744
numerai28.6,numerai28_6,mljarsupervised,108s,0,binary,0.527041,auc,local,1.1.1,,2.1.7,2024-01-07T19:45:06,85.5,76.9,0.3,6,1763843427,0.519172,0.527041,0.515547,0.691895,,51.9172
numerai28.6,numerai28_6,constantpredictor,108s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T19:45:11,0.4,0.002,0.0002,1,1879033660,0.507475,0.5,0.5,0.693057,,50.7475
numerai28.6,numerai28_6,RandomForest,108s,0,binary,0.514975,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T19:46:58,102,97.2,1.4,1940,646609724,0.509967,0.514975,0.509402,0.695634,,50.9967
numerai28.6,numerai28_6,TPOT,108s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T19:50:46,223.1,,,,2109023103,,,,,,0
helena,helena,AutoGluon,140s,0,multiclass,-2.60431,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T19:53:29,159,152.7,0.7,5,1372407309,0.36326,,0.212589,2.60431,4,36.326
helena,helena,H2OAutoML,140s,0,multiclass,-5.1429,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T19:56:17,164.1,145.8,0.8,4,794983623,0.280025,,0.112189,5.1429,,28.0025
helena,helena,mljarsupervised,140s,0,multiclass,,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:01:16,293.3,,,,971888220,,,,,,0
helena,helena,constantpredictor,140s,0,multiclass,-5.0326,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:01:23,3.5,0.003,0.0001,1,1333197849,0.0604837,,0.01,5.0326,,6.04837
helena,helena,RandomForest,140s,0,multiclass,-3.03168,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:03:52,143.4,125.6,6,1380,1268493844,0.367503,,0.194059,3.03168,,36.7503
helena,helena,TPOT,140s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T20:08:45,288,,,,1926407632,,,,,,0
vehicle,vehicle,AutoGluon,88s,0,multiclass,-0.360343,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T20:09:15,26,23.3,0.06,14,349222937,0.799213,,0.800171,0.360343,3,79.9213
vehicle,vehicle,H2OAutoML,88s,0,multiclass,-0.378021,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T20:10:59,99.3,90.1,0.2,65,2138334540,0.807087,,0.808065,0.378021,,80.7087
vehicle,vehicle,mljarsupervised,88s,0,multiclass,-0.466371,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:13:34,150.7,142.6,0.07,5,1186816375,0.791339,,0.793445,0.466371,,79.1339
vehicle,vehicle,constantpredictor,88s,0,multiclass,-1.39811,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:13:38,0.03,0.0005,0.00009,1,626550550,0.185039,,0.25,1.39811,,18.5039
vehicle,vehicle,RandomForest,88s,0,multiclass,-0.475835,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:13:53,9.9,7.5,0.7,2000,1186000984,0.76378,,0.751826,0.475835,,76.378
vehicle,vehicle,TPOT,88s,0,multiclass,-0.401175,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T20:15:46,109.1,102.8,0.001,369,925121643,0.826772,,0.825828,0.401175,,82.6772
connect-4,connect-4,AutoGluon,75s,0,multiclass,-0.376166,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T20:17:11,80.9,77.9,0.2,6,134364055,0.854993,,0.678218,0.376166,2,85.4993
connect-4,connect-4,H2OAutoML,75s,0,multiclass,-0.385601,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T20:18:46,90.4,77.8,0.5,11,1784717081,0.849319,,0.667332,0.385601,,84.9319
connect-4,connect-4,mljarsupervised,75s,0,multiclass,,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:21:31,160.5,,,,511254728,,,,,,0
connect-4,connect-4,constantpredictor,75s,0,multiclass,-0.845562,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:21:36,0.3,0.003,0.0001,1,1038767549,0.65744,,0.333333,0.845562,,65.744
connect-4,connect-4,RandomForest,75s,0,multiclass,-0.509385,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:22:08,26.9,22.8,1.1,2000,2083405001,0.814091,,0.589911,0.509385,,81.4091
connect-4,connect-4,TPOT,75s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T20:24:49,157,,,,652408236,,,,,,0
airlines,airlines,AutoGluon,169s,0,binary,0.727742,auc,local,1.0.0,,2.1.7,2024-01-07T20:27:55,181.9,170.1,2.5,8,27986592,0.673077,0.727742,0.658004,0.601421,6,67.3077
airlines,airlines,H2OAutoML,169s,0,binary,0.727356,auc,local,3.44.0.3,,2.1.7,2024-01-07T20:31:08,187.8,170.7,1,15,981666681,0.612205,0.727356,0.634558,0.601492,,61.2205
airlines,airlines,mljarsupervised,169s,0,binary,0.720229,auc,local,1.1.1,,2.1.7,2024-01-07T20:34:29,196.2,185.9,0.8,4,1888570913,0.668325,0.720229,0.651474,0.607207,,66.8325
airlines,airlines,constantpredictor,169s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T20:34:35,1.5,0.01,0.0006,1,714320791,0.555604,0.5,0.5,0.686955,,55.5604
airlines,airlines,RandomForest,169s,0,binary,0.661219,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:37:35,174.6,152.1,7.9,1790,36996359,0.623749,0.661219,0.617167,0.826595,,62.3749
airlines,airlines,TPOT,169s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T20:43:28,347.6,,,,37572230,,,,,,0
