dataset_name,config,status,number_iteration,pipeline_gen_time,execution_time,accuracy,f1_score,log_loss,r_squared,rmse
dataset_1_rnc,SDVCSN,True,1,21.746256589889526,3.1117682456970215,0.8777777777777778,0.9185185185185185,-1,-1,-1
dataset_1_rnc,SSN,True,2,17.221617221832275,0.21244597434997559,0.8777777777777778,0.9185185185185185,-1,-1,-1
dataset_1_rnc,SCV,True,1,23.26669979095459,0.15641283988952637,0.8777777777777778,0.9197080291970803,-1,-1,-1
dataset_1_rnc,SMVFSN,True,2,26.143404722213745,0.1543269157409668,0.8888888888888888,0.9264705882352942,-1,-1,-1
dataset_1_rnc,ALL,True,1,21.218167066574097,0.24641132354736328,0.8555555555555555,0.9037037037037037,-1,-1,-1
dataset_1_rnc,SDVCMVF,True,2,16.138242959976196,0.25838589668273926,0.8888888888888888,0.9264705882352942,-1,-1,-1
dataset_1_rnc,SDVC,True,2,25.98716425895691,0.23131108283996582,0.8555555555555555,0.9022556390977443,-1,-1,-1
dataset_1_rnc,SMVF,True,1,25.682841539382935,0.15604329109191895,0.8888888888888888,0.9264705882352942,-1,-1,-1
dataset_1_rnc,SMVFCV,True,1,24.070555686950684,0.15211081504821777,0.8666666666666667,0.9104477611940298,-1,-1,-1
dataset_1_rnc,CatDB,True,2,30.395802974700928,0.17943859100341797,0.8888888888888888,0.9264705882352942,-1,-1,-1
