dataset_name,config,status,number_iteration,pipeline_gen_time,execution_time,accuracy,f1_score,log_loss,r_squared,rmse
dataset_3_rnc,SSN,True,1,16.143879652023315,18.25575590133667,0.6674897312889976,0.6616684080812271,-1,-1,-1
dataset_3_rnc,SDVCSN,True,3,16.129108905792236,105.06535267829895,0.6643464083027624,0.6587993434158314,-1,-1,-1
dataset_3_rnc,SMVF,True,1,32.49620342254639,16.606873273849487,0.6653576019816261,0.6586167464994842,-1,-1,-1
dataset_3_rnc,SDVCMVF,True,1,25.67975687980652,16.316250324249268,0.6655143761954034,0.6592344734509388,-1,-1,-1
dataset_3_rnc,SMVFSN,True,1,17.01365351676941,14.375070333480835,0.6670037312262879,0.6599588566305662,-1,-1,-1
dataset_3_rnc,SDVC,True,1,16.826043367385864,15.399977445602417,0.6662825698429122,0.6601853403893585,-1,-1,-1
dataset_3_rnc,SMVFCV,True,1,25.842277765274048,17.298786878585815,0.6656711504091807,0.6607164164856931,-1,-1,-1
dataset_3_rnc,SCV,True,3,22.582958698272705,104.3755555152893,0.6629746339322108,0.6568662660313964,-1,-1,-1
dataset_3_rnc,ALL,True,1,22.55046796798706,14.734554052352905,0.6660866020756906,0.6593577071938074,-1,-1,-1
dataset_3_rnc,CatDB,True,6,35.996479749679565,34.31815004348755,0.6468190512024582,0.6229875824212605,-1,-1,-1
