dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
Buzzinsocialmedia_Twitter,Conf-1,Random,0,1364,7,35,36,0
Buzzinsocialmedia_Twitter,Conf-2,Random,0,1850,7,35,36,0
Buzzinsocialmedia_Twitter,Conf-3,Random,0,2086,7,35,36,0
Buzzinsocialmedia_Twitter,Conf-4,Random,0,3209,7,35,36,0
Buzzinsocialmedia_Twitter,Conf-5,Random,0,1845,7,35,36,0
Buzzinsocialmedia_Twitter,Conf-6,Random,0,2655,7,35,36,0
Buzzinsocialmedia_Twitter,Conf-7,Random,0,3936,7,35,36,0
Buzzinsocialmedia_Twitter,Conf-8,Random,0,2572,7,35,36,0
Buzzinsocialmedia_Twitter,Conf-9,Random,0,3695,7,35,36,0
Buzzinsocialmedia_Twitter,Conf-10,Random,0,4538,7,35,36,0
