id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,acc,auc,balacc,logloss,models_ensemble_count,acc_final
airlines,airlines,AutoGluon,1h,0,binary,0.729628,auc,local,1.0.0,,2.1.7,2024-01-02T23:09:29,3637.7,3601.8,15.6,12,1446684754,0.6749,0.729628,0.659836,0.600105,7,67.49
airlines,airlines,H2OAutoML,1h,0,binary,0.729704,auc,local,3.44.0.3,,2.1.7,2024-01-03T00:10:03,3628.8,3603.2,3.9,84,1466714134,0.613101,0.729704,0.635672,0.599829,,61.3101
airlines,airlines,mljarsupervised,1h,0,binary,0.720229,auc,local,1.1.1,,2.1.7,2024-01-03T00:18:28,499.2,478.4,0.9,6,1018795775,0.668325,0.720229,0.651474,0.607207,,66.8325
airlines,airlines,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-03T00:18:34,1.7,0.01,0.0007,1,1629181154,0.555604,0.5,0.5,0.686955,,55.5604
airlines,airlines,RandomForest,1h,0,binary,0.661233,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-03T00:22:02,202.5,173.8,8.8,2000,216226932,0.623335,0.661233,0.616672,0.825974,,62.3335
airlines,airlines,TPOT,1h,0,binary,0.721696,auc,local,0.12.1,,2.1.7,2024-01-03T01:23:07,3660.7,3644.5,0.8,544,1490966322,0.667942,0.721696,0.651861,0.606012,,66.7942
albert,albert,AutoGluon,1h,0,binary,0.767402,auc,local,1.0.0,,2.1.7,2024-01-03T02:24:39,3633.1,3603.2,15.8,14,1054554893,0.696658,0.767402,0.696658,0.575531,6,69.6658
albert,albert,H2OAutoML,1h,0,binary,0.76388,auc,local,3.44.0.3,,2.1.7,2024-01-03T03:25:13,3625.2,3601.6,2,44,1259644673,0.66477,0.76388,0.664748,0.57814,,66.477
albert,albert,mljarsupervised,1h,0,binary,0.758259,auc,local,1.1.1,,2.1.7,2024-01-03T03:32:10,408.9,395.8,0.8,6,939290640,0.68867,0.758259,0.688672,0.583551,,68.867
albert,albert,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-03T03:32:22,3,0.01,0.0006,1,1044053440,0.499945,0.5,0.5,0.693147,,49.9945
albert,albert,RandomForest,1h,0,binary,0.736322,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-03T03:41:37,546,521.3,6.4,2000,1089502792,0.67271,0.736322,0.672711,0.606383,,67.271
albert,albert,TPOT,1h,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-03T05:41:57,7211.2,,,,1720666947,,,,,,0
covertype,covertype,AutoGluon,1h,0,multiclass,-0.0809135,neg_logloss,local,1.0.0,,2.1.7,2024-01-03T06:43:13,3631.5,3608.3,13.2,5,1234655528,0.967144,,0.928805,0.0809135,3,96.7144
covertype,covertype,H2OAutoML,1h,0,multiclass,-0.108234,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-03T07:44:03,3643,3609.2,12.5,16,1368404744,0.958974,,0.934157,0.108234,,95.8974
covertype,covertype,mljarsupervised,1h,0,multiclass,-0.108319,neg_logloss,local,1.1.1,,2.1.7,2024-01-03T08:55:07,4257.3,4219.8,24.6,4,469002378,0.96186,,0.92782,0.108319,,96.186
covertype,covertype,constantpredictor,1h,0,multiclass,-1.20418,neg_logloss,local,1.2.2,,2.1.7,2024-01-03T08:55:18,4,0.01,0.0008,1,1629297672,0.488101,,0.142857,1.20418,,48.8101
covertype,covertype,RandomForest,1h,0,multiclass,-0.177006,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-03T09:00:53,327.3,299.1,8.9,2000,241235624,0.953214,,0.905884,0.177006,,95.3214
covertype,covertype,TPOT,1h,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-03T11:01:11,7210.4,,,,950279198,,,,,,0
dionis,dionis,AutoGluon,1h,0,multiclass,-0.349832,neg_logloss,local,1.0.0,,2.1.7,2024-01-03T12:04:20,3748.6,3658,13.1,6,17584675,0.91648,,0.914366,0.349832,5,91.648
dionis,dionis,H2OAutoML,1h,0,multiclass,-9.2097,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-03T13:24:17,4795.1,4603.1,2.2,4,785257932,0.568106,,0.561397,9.2097,,56.8106
dionis,dionis,mljarsupervised,1h,0,multiclass,-1.65728,neg_logloss,local,1.1.1,,2.1.7,2024-01-03T13:56:01,1894.3,1695,2.8,4,155622605,0.586759,,0.577829,1.65728,,58.6759
dionis,dionis,constantpredictor,1h,0,multiclass,-5.8864,neg_logloss,local,1.2.2,,2.1.7,2024-01-03T13:57:43,90.9,0.02,0.0005,1,547156295,0.00608696,,0.0028169,5.8864,,0.608696
dionis,dionis,RandomForest,1h,0,multiclass,-0.645054,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-03T14:08:53,655.2,491.5,53.5,530,267520716,0.911082,,0.908939,0.645054,,91.1082
dionis,dionis,TPOT,1h,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-03T16:09:24,7211.6,,,,868322902,,,,,,0
adult,adult,AutoGluon,1h,0,binary,,auc,local,1.0.0,,2.1.7,2024-01-03T16:14:19,234.9,,,,2107316109,,,,,,0
adult,adult,H2OAutoML,1h,0,binary,0.933119,auc,local,3.44.0.3,,2.1.7,2024-01-03T17:14:40,3616.9,3601.6,0.7,224,194362317,0.860916,0.933119,0.844714,0.265752,,86.0916
adult,adult,mljarsupervised,1h,0,binary,0.930527,auc,local,1.1.1,,2.1.7,2024-01-03T17:16:10,85.3,74.2,0.1,6,2079043521,0.879956,0.930527,0.803238,0.269638,,87.9956
adult,adult,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-03T17:16:15,0.2,0.01,0.0002,1,1689436388,0.766601,0.5,0.5,0.543545,,76.6601
adult,adult,RandomForest,1h,0,binary,,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-03T17:16:43,23.9,,,,101279645,,,,,,0
adult,adult,TPOT,1h,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-03T18:17:57,3668.8,,,,280620095,,,,,,0
Amazon_employee_access,Amazon_employee_access,AutoGluon,1h,0,binary,0.849168,auc,local,1.0.0,,2.1.7,2024-01-03T18:24:35,353.2,347.7,0.5,14,1335317918,0.949039,0.849168,0.632113,0.156342,8,94.9039
Amazon_employee_access,Amazon_employee_access,H2OAutoML,1h,0,binary,0.858337,auc,local,3.44.0.3,,2.1.7,2024-01-03T19:24:58,3618.6,3604.1,0.8,504,760687446,0.950565,0.858337,0.654859,0.147156,,95.0565
Amazon_employee_access,Amazon_employee_access,mljarsupervised,1h,0,binary,0.818098,auc,local,1.1.1,,2.1.7,2024-01-03T19:26:17,74.4,65.9,0.07,6,1182151160,0.948123,0.818098,0.579315,0.167704,,94.8123
Amazon_employee_access,Amazon_employee_access,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-03T19:26:21,0.1,0.0008,0.0001,1,798370598,0.943342,0.5,0.5,0.217698,,94.3342
Amazon_employee_access,Amazon_employee_access,RandomForest,1h,0,binary,0.845062,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-03T19:26:46,20.6,17.6,0.9,2000,397602796,0.946191,0.845062,0.675322,0.195369,,94.6191
Amazon_employee_access,Amazon_employee_access,TPOT,1h,0,binary,0.851211,auc,local,0.12.1,,2.1.7,2024-01-03T20:30:51,3840.5,3833.7,0.1,1915,308930667,0.949446,0.851211,0.625579,0.195818,,94.9446
APSFailure,APSFailure,AutoGluon,1h,0,binary,0.989317,auc,local,1.0.0,,2.1.7,2024-01-03T20:38:39,400.8,390.7,3.5,14,2000671763,0.993289,0.989317,0.840052,0.0229506,4,99.3289
APSFailure,APSFailure,H2OAutoML,1h,0,binary,0.990128,auc,local,3.44.0.3,,2.1.7,2024-01-03T21:39:06,3620.6,3602.7,0.3,92,500639649,0.993421,0.990128,0.872827,0.0198646,,99.3421
APSFailure,APSFailure,mljarsupervised,1h,0,binary,0.983667,auc,local,1.1.1,,2.1.7,2024-01-03T21:41:45,152.7,141.7,0.8,6,587723267,0.991535,0.983667,0.903405,0.0252464,,99.1535
APSFailure,APSFailure,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-03T21:41:52,1,0.02,0.0002,1,1046439913,0.981579,0.5,0.5,0.091835,,98.1579
APSFailure,APSFailure,RandomForest,1h,0,binary,0.989574,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-03T21:45:12,194.4,187.5,1,2000,1879218492,0.993377,0.989574,0.858787,0.0261931,,99.3377
APSFailure,APSFailure,TPOT,1h,0,binary,0.98803,auc,local,0.12.1,,2.1.7,2024-01-03T22:49:17,3838.6,3828.3,0.2,475,1415026045,0.993202,0.98803,0.858697,0.0208325,,99.3202
