dataset,llm_model,prompt_representation_type,prompt_example_type,prompt_number_example,prompt_number_iteration,task_type,time,result,data_profile_time,pipeline_time,catdb_llm_time,total_time,dataset_n
jasmine,gpt-4,TEXT,Random,0,1,binary,1355,79.13,39.08,1.355,28.111,68.546,32
jasmine,gpt-3.5-turbo,TEXT,Random,0,1,binary,942,74.78,39.08,0.942,18.999,59.021,32
kc1,gpt-4,TEXT,Random,0,1,binary,1449,85.94,42.337,1.449,33.373,77.159,33
kc1,gpt-3.5-turbo,TEXT,Random,0,1,binary,884,84.68,42.337,0.884,19.26,62.481,33
kr-vs-kp,gpt-4,TEXT,Random,0,1,binary,1726,0,0,0,0,0,34
kr-vs-kp,gpt-3.5-turbo,TEXT,Random,0,1,binary,16,0,0,0,0,0,34
mfeat-factors,gpt-4,TEXT,Random,0,1,multiclass,1776,96.33,49.016,1.776,35.864,86.656,35
mfeat-factors,gpt-3.5-turbo,TEXT,Random,0,1,multiclass,1735,96.5,49.016,1.735,28.112,78.863,35
phoneme,gpt-4,TEXT,Random,0,1,binary,1662,86.74,42.486,1.662,26.736,70.884,36
phoneme,gpt-3.5-turbo,TEXT,Random,0,1,binary,870,73.55,42.486,0.87,27.68,71.036,36
segment,gpt-4,TEXT,Random,0,1,multiclass,1384,89.75,48.661,1.384,34.801,84.846,37
segment,gpt-3.5-turbo,TEXT,Random,0,1,multiclass,1227,92.78,48.661,1.227,41.702,91.59,37
sylvine,gpt-4,TEXT,Random,0,1,binary,1853,93.5,40.048,1.853,28.325,70.226,38
sylvine,gpt-3.5-turbo,TEXT,Random,0,1,binary,1671,93.24,40.048,1.671,29.889,71.608,38
vehicle,gpt-4,TEXT,Random,0,1,multiclass,1442,76.38,46.308,1.442,35.61,83.36,39
vehicle,gpt-3.5-turbo,TEXT,Random,0,1,multiclass,889,78.35,46.308,0.889,34.34,81.537,39
