dataset_id,accuracy_before,accuracy_after,time
0,0.9375,1.0,62.32055997848511
1,1.0,1.0,59.54253792762756
2,0.5718157181571816,0.5663956639566395,363.5144839286804
3,0.748,0.764,224.1374945640564
4,0.7916666666666666,0.7916666666666666,164.24734926223755
5,0.5833333333333334,0.5833333333333334,67.37596154212952
6,0.7010869565217391,0.7010869565217391,169.60245871543884
7,0.9280575539568345,0.935251798561151,167.02561259269714
8,0.618,0.612,521.8481593132019
9,0.838,0.842,436.1987075805664



0, 0.8444,0.882,0
1,0.9783,0.9809,0
2,0.7375,0.7393,0
3,0.7824,0.7832,0
4,0.8427,0.8425,0
5,0.6989,0.9536,0
6,0.9319,0.9319,0
7,0.9035,0.9093,0
8,0.6211,0.6203,0
9,0.9334,0.9453,0 

