dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
eucalyptus,multiclass,gpt-4-turbo,Yes,S,Random,0,1715,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,SDVC,Random,0,1835,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,SMVF,Random,0,1911,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,SSN,Random,0,2256,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,SCV,Random,0,1763,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,SDVCMVF,Random,0,2055,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,SDVCSN,Random,0,2380,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,SMVFSN,Random,0,2455,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,SMVFCV,Random,0,1962,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,SSNCV,Random,0,2308,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,ALL,Random,0,2556,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,2513,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,S,Random,0,1075,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,SDVC,Random,0,1195,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,SMVF,Random,0,1271,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,SSN,Random,0,1616,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,SCV,Random,0,1123,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,SDVCMVF,Random,0,1415,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,SDVCSN,Random,0,1740,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,SMVFSN,Random,0,1815,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,SMVFCV,Random,0,1322,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,SSNCV,Random,0,1668,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,ALL,Random,0,1916,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,No,CatDB,Random,0,1873,0,12,8,0
eucalyptus,multiclass,gpt-4-turbo,yes,CAAFE,Random,10,24680,0,0,0,0
eucalyptus,multiclass,gpt-4-turbo,no,CAAFE,Random,10,18400,0,0,0,0
