dataset,time
Higgs,54744
Albert,4010
Click-Prediction,3070
Census-Augmented,3057
Heart-Statlog,2133
KDDCup99,13900
Road-Safety,3423
Drug-Directory,1880
Okcupid-Stem,1081
Walking-Activity,1012
PASS,6539
Aloi,1706
MD-MIX-Mini,1360
Dionis,3778
Meta-Album-BRD,1020
Balance-Scale,922
Breast-w,752
CMC,839
Credit-g,781
Diabetes,888
Tic-Tac-Toe,932
Eucalyptus,837
PC1,861
Airlines,1437
Jungle-Chess,1014
