dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
eucalyptus,YES,S,Random,0,1721,0,12,8,0
eucalyptus,YES,SDVC,Random,0,1841,0,12,8,0
eucalyptus,YES,SMVF,Random,0,1917,0,12,8,0
eucalyptus,YES,SSN,Random,0,2262,0,12,8,0
eucalyptus,YES,SCV,Random,0,1769,0,12,8,0
eucalyptus,YES,SDVCMVF,Random,0,2061,0,12,8,0
eucalyptus,YES,SDVCSN,Random,0,2386,0,12,8,0
eucalyptus,YES,SMVFSN,Random,0,2461,0,12,8,0
eucalyptus,YES,SMVFCV,Random,0,1968,0,12,8,0
eucalyptus,YES,SSNCV,Random,0,2314,0,12,8,0
eucalyptus,YES,ALL,Random,0,2562,0,12,8,0
eucalyptus,YES,CatDB,Random,0,2519,0,12,8,0
eucalyptus,NO,S,Random,0,1081,0,12,8,0
eucalyptus,NO,SDVC,Random,0,1201,0,12,8,0
eucalyptus,NO,SMVF,Random,0,1277,0,12,8,0
eucalyptus,NO,SSN,Random,0,1622,0,12,8,0
eucalyptus,NO,SCV,Random,0,1129,0,12,8,0
eucalyptus,NO,SDVCMVF,Random,0,1421,0,12,8,0
eucalyptus,NO,SDVCSN,Random,0,1746,0,12,8,0
eucalyptus,NO,SMVFSN,Random,0,1821,0,12,8,0
eucalyptus,NO,SMVFCV,Random,0,1328,0,12,8,0
eucalyptus,NO,SSNCV,Random,0,1674,0,12,8,0
eucalyptus,NO,ALL,Random,0,1922,0,12,8,0
eucalyptus,NO,CatDB,Random,0,1879,0,12,8,0
