dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
simulated_electricity,Conf-1,Random,0,882,0,1,7,1
simulated_electricity,Conf-2,Random,0,958,0,1,7,1
simulated_electricity,Conf-3,Random,0,983,0,1,7,1
simulated_electricity,Conf-4,Random,0,1106,0,1,7,1
simulated_electricity,Conf-5,Random,0,980,0,1,7,1
simulated_electricity,Conf-6,Random,0,1073,0,1,7,1
simulated_electricity,Conf-7,Random,0,1212,0,1,7,1
simulated_electricity,Conf-8,Random,0,1086,0,1,7,1
simulated_electricity,Conf-9,Random,0,1209,0,1,7,1
simulated_electricity,Conf-10,Random,0,1275,0,1,7,1
