dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,S,Random,0,1455,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,SDVC,Random,0,1828,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,SMVF,Random,0,2092,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,SSN,Random,0,2766,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,SCV,Random,0,1783,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,SDVCMVF,Random,0,2538,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,SDVCSN,Random,0,3143,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,SMVFSN,Random,0,3406,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,SMVFCV,Random,0,2423,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,SSNCV,Random,0,3098,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,ALL,Random,0,3865,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,Yes,CatDB,Random,0,3783,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,S,Random,0,1436,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,SDVC,Random,0,1809,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,SMVF,Random,0,2073,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,SSN,Random,0,2747,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,SCV,Random,0,1764,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,SDVCMVF,Random,0,2519,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,SDVCSN,Random,0,3124,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,SMVFSN,Random,0,3387,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,SMVFCV,Random,0,2404,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,SSNCV,Random,0,3079,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,ALL,Random,0,3846,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,No,CatDB,Random,0,3764,1,35,11,22
MD_MIX_Mini_Copy,regression,gpt-4-turbo,yes,CAAFE,Random,10,46630,0,0,0,0
MD_MIX_Mini_Copy,regression,gpt-4-turbo,no,CAAFE,Random,10,46580,0,0,0,0
