dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
MD_MIX_Mini_Copy,S,Random,0,1388,1,35,11,22
MD_MIX_Mini_Copy,SDVC,Random,0,1761,1,35,11,22
MD_MIX_Mini_Copy,SMVF,Random,0,2025,1,35,11,22
MD_MIX_Mini_Copy,SSN,Random,0,2699,1,35,11,22
MD_MIX_Mini_Copy,SCV,Random,0,1716,1,35,11,22
MD_MIX_Mini_Copy,SDVCMVF,Random,0,2471,1,35,11,22
MD_MIX_Mini_Copy,SDVCSN,Random,0,3076,1,35,11,22
MD_MIX_Mini_Copy,SMVFSN,Random,0,3339,1,35,11,22
MD_MIX_Mini_Copy,SMVFCV,Random,0,2356,1,35,11,22
MD_MIX_Mini_Copy,SSNCV,Random,0,3031,1,35,11,22
MD_MIX_Mini_Copy,ALL,Random,0,3798,1,35,11,22
MD_MIX_Mini_Copy,CatDB,Random,0,3716,1,35,11,22
