dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
3-million-Sudoku-puzzles-with-ratings,Conf-1,Random,0,861,0,1,1,2
3-million-Sudoku-puzzles-with-ratings,Conf-2,Random,0,910,0,1,1,2
3-million-Sudoku-puzzles-with-ratings,Conf-3,Random,0,917,0,1,1,2
3-million-Sudoku-puzzles-with-ratings,Conf-4,Random,0,931,0,1,1,2
3-million-Sudoku-puzzles-with-ratings,Conf-5,Random,0,897,0,1,1,2
3-million-Sudoku-puzzles-with-ratings,Conf-6,Random,0,975,0,1,1,2
3-million-Sudoku-puzzles-with-ratings,Conf-7,Random,0,992,0,1,1,2
3-million-Sudoku-puzzles-with-ratings,Conf-8,Random,0,958,0,1,1,2
3-million-Sudoku-puzzles-with-ratings,Conf-9,Random,0,972,0,1,1,2
3-million-Sudoku-puzzles-with-ratings,Conf-10,Random,0,1007,0,1,1,2
