dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
dataset_3_rnc,Conf-1,Random,0,1319,1,70,8,0
dataset_3_rnc,Conf-2,Random,0,1774,1,70,8,0
dataset_3_rnc,Conf-3,Random,0,2050,1,70,8,0
dataset_3_rnc,Conf-4,Random,0,3379,1,70,8,0
dataset_3_rnc,Conf-5,Random,0,1826,1,70,8,0
dataset_3_rnc,Conf-6,Random,0,2589,1,70,8,0
dataset_3_rnc,Conf-7,Random,0,4115,1,70,8,0
dataset_3_rnc,Conf-8,Random,0,2562,1,70,8,0
dataset_3_rnc,Conf-9,Random,0,3891,1,70,8,0
dataset_3_rnc,Conf-10,Random,0,4707,1,70,8,0
