dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
aloi,S,Random,0,1454,0,129,0,0
aloi,SDVC,Random,0,2120,0,129,0,0
aloi,SMVF,Random,0,2631,0,129,0,0
aloi,SSN,Random,0,4695,0,129,0,0
aloi,SCV,Random,0,2503,0,129,0,0
aloi,SDVCMVF,Random,0,3430,0,129,0,0
aloi,SDVCSN,Random,0,5365,0,129,0,0
aloi,SMVFSN,Random,0,5875,0,129,0,0
aloi,SMVFCV,Random,0,3683,0,129,0,0
aloi,SSNCV,Random,0,5748,0,129,0,0
aloi,ALL,Random,0,6897,0,129,0,0
aloi,CatDB,Random,0,5906,0,129,0,0
