dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
Microsoft,Conf-1,Random,0,2023,5,36,96,0
Microsoft,Conf-2,Random,0,2820,5,36,96,0
Microsoft,Conf-3,Random,0,3276,5,36,96,0
Microsoft,Conf-4,Random,0,5491,5,36,96,0
Microsoft,Conf-5,Random,0,2683,5,36,96,0
Microsoft,Conf-6,Random,0,4215,5,36,96,0
Microsoft,Conf-7,Random,0,6749,5,36,96,0
Microsoft,Conf-8,Random,0,3941,5,36,96,0
Microsoft,Conf-9,Random,0,6156,5,36,96,0
Microsoft,Conf-10,Random,0,7737,5,36,96,0
