dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
pc1,YES,S,Random,0,1640,1,4,17,0
pc1,YES,SDVC,Random,0,1770,1,4,17,0
pc1,YES,SMVF,Random,0,1854,1,4,17,0
pc1,YES,SSN,Random,0,2206,1,4,17,0
pc1,YES,SCV,Random,0,1664,1,4,17,0
pc1,YES,SDVCMVF,Random,0,2010,1,4,17,0
pc1,YES,SDVCSN,Random,0,2340,1,4,17,0
pc1,YES,SMVFSN,Random,0,2423,1,4,17,0
pc1,YES,SMVFCV,Random,0,1881,1,4,17,0
pc1,YES,SSNCV,Random,0,2234,1,4,17,0
pc1,YES,ALL,Random,0,2525,1,4,17,0
pc1,YES,CatDB,Random,0,2427,1,4,17,0
pc1,NO,S,Random,0,1116,1,4,17,0
pc1,NO,SDVC,Random,0,1246,1,4,17,0
pc1,NO,SMVF,Random,0,1330,1,4,17,0
pc1,NO,SSN,Random,0,1682,1,4,17,0
pc1,NO,SCV,Random,0,1140,1,4,17,0
pc1,NO,SDVCMVF,Random,0,1486,1,4,17,0
pc1,NO,SDVCSN,Random,0,1816,1,4,17,0
pc1,NO,SMVFSN,Random,0,1899,1,4,17,0
pc1,NO,SMVFCV,Random,0,1357,1,4,17,0
pc1,NO,SSNCV,Random,0,1710,1,4,17,0
pc1,NO,ALL,Random,0,2001,1,4,17,0
pc1,NO,CatDB,Random,0,1903,1,4,17,0
