dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
Census-Augmented,YES,S,Random,0,1429,0,0,6,9
Census-Augmented,YES,SDVC,Random,0,1530,0,0,6,9
Census-Augmented,YES,SMVF,Random,0,1580,0,0,6,9
Census-Augmented,YES,SSN,Random,0,1646,0,0,6,9
Census-Augmented,YES,SCV,Random,0,1517,0,0,6,9
Census-Augmented,YES,SDVCMVF,Random,0,1700,0,0,6,9
Census-Augmented,YES,SDVCSN,Random,0,1751,0,0,6,9
Census-Augmented,YES,SMVFSN,Random,0,1800,0,0,6,9
Census-Augmented,YES,SMVFCV,Random,0,1671,0,0,6,9
Census-Augmented,YES,SSNCV,Random,0,1738,0,0,6,9
Census-Augmented,YES,ALL,Random,0,1897,0,0,6,9
Census-Augmented,YES,CatDB,Random,0,1844,0,0,6,9
Census-Augmented,NO,S,Random,0,1071,0,0,6,9
Census-Augmented,NO,SDVC,Random,0,1172,0,0,6,9
Census-Augmented,NO,SMVF,Random,0,1222,0,0,6,9
Census-Augmented,NO,SSN,Random,0,1288,0,0,6,9
Census-Augmented,NO,SCV,Random,0,1159,0,0,6,9
Census-Augmented,NO,SDVCMVF,Random,0,1342,0,0,6,9
Census-Augmented,NO,SDVCSN,Random,0,1393,0,0,6,9
Census-Augmented,NO,SMVFSN,Random,0,1442,0,0,6,9
Census-Augmented,NO,SMVFCV,Random,0,1313,0,0,6,9
Census-Augmented,NO,SSNCV,Random,0,1380,0,0,6,9
Census-Augmented,NO,ALL,Random,0,1539,0,0,6,9
Census-Augmented,NO,CatDB,Random,0,1486,0,0,6,9
