dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID
Airlines,CAAFE,,gemini-1.5-pro-latest,TabPFN,binary,True,1,0,Yes,0,0,1188.268987417221,1188.2542850971222,0.772999976893177,0.772999976893177,0.772999976893177,0.6824444472789765,-2,-2,-2,-2,0.6176925258285116,0.6176925258285116,0.6176925258285116,0.5993333339691163,-2,-2,-2,-2,1210,1210,Run-CAAFE,6
Airlines,CAAFE,,gemini-1.5-pro-latest,TabPFN,binary,True,2,0,Yes,0,0,1188.268987417221,1188.2542850971222,0.7349427859568994,0.7349427859568994,0.7349427859568994,0.6657037049531936,-2,-2,-2,-2,0.6165653379465639,0.6165653379465639,0.6165653379465639,0.5903333306312561,-2,-2,-2,-2,1210,2552,Run-CAAFE,6
Airlines,CAAFE,,gemini-1.5-pro-latest,TabPFN,binary,True,3,0,Yes,0,0,1188.268987417221,1188.2542850971222,0.7517449879739019,0.7517449879739019,0.7517449879739019,0.6788148134946823,-2,-2,-2,-2,0.6206676173269219,0.6206676173269219,0.6206676173269219,0.5943333327770233,-2,-2,-2,-2,1210,3991,Run-CAAFE,6
Airlines,CAAFE,,gemini-1.5-pro-latest,TabPFN,binary,True,4,0,Yes,0,0,1188.268987417221,1188.2542850971222,0.7433343778342538,0.7433343778342538,0.7433343778342538,0.6738888889551162,-2,-2,-2,-2,0.6220234842581835,0.6220234842581835,0.6220234842581835,0.5979999959468841,-2,-2,-2,-2,1210,5518,Run-CAAFE,6
Airlines,CAAFE,,gemini-1.5-pro-latest,TabPFN,binary,True,5,0,Yes,0,0,1188.268987417221,1188.2542850971222,0.7485293876955601,0.7485293876955601,0.7485293876955601,0.6765925973653794,-2,-2,-2,-2,0.6221784923887037,0.6221784923887037,0.6221784923887037,0.5990000039339065,-2,-2,-2,-2,1210,7143,Run-CAAFE,6
Airlines,CAAFE,,gemini-1.5-pro-latest,TabPFN,binary,True,6,0,Yes,0,0,1188.268987417221,1188.2542850971222,0.7550962505979695,0.7550962505979695,0.7550962505979695,0.6834444433450699,-2,-2,-2,-2,0.6215341462566222,0.6215341462566222,0.6215341462566222,0.5909999966621399,-2,-2,-2,-2,1210,10761,Run-CAAFE,6
Airlines,CAAFE,,gemini-1.5-pro-latest,TabPFN,binary,True,7,0,Yes,0,0,1188.268987417221,1188.2542850971222,0.7452661587726181,0.7452661587726181,0.7452661587726181,0.6743333280086518,-2,-2,-2,-2,0.6160650728026686,0.6160650728026686,0.6160650728026686,0.5933333307504653,-2,-2,-2,-2,1210,12790,Run-CAAFE,6
Airlines,CAAFE,,gemini-1.5-pro-latest,TabPFN,binary,True,8,0,Yes,0,0,1188.268987417221,1188.2542850971222,0.745408411954734,0.745408411954734,0.745408411954734,0.6746666669845581,-2,-2,-2,-2,0.6181199261941888,0.6181199261941888,0.6181199261941888,0.5926666706800461,-2,-2,-2,-2,1210,14960,Run-CAAFE,6
Airlines,CAAFE,,gemini-1.5-pro-latest,TabPFN,binary,True,9,0,Yes,0,0,1188.268987417221,1188.2542850971222,0.741659681031783,0.741659681031783,0.741659681031783,0.670111107826233,-2,-2,-2,-2,0.6178190504073038,0.6178190504073038,0.6178190504073038,0.5919999957084656,-2,-2,-2,-2,1210,17271,Run-CAAFE,6
Airlines,CAAFE,,gemini-1.5-pro-latest,RandomForest,binary,True,1,0,Yes,0,0,193.02966594696045,193.015410900116,0.9999686027418732,0.9999686027418732,0.9999686027418732,0.9964444547891615,-2,-2,-2,-2,0.6179089079696719,0.6179089079696719,0.6179089079696719,0.6039999961853028,-2,-2,-2,-2,1210,1210,Run-CAAFE,6
