dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID,dataset_name_orig
Jungle-Chess,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,1,0,Yes,0,0,1255.424158334732,1255.4106600284576,0.7197266625514465,0.7197266625514465,0.7298087533675564,0.5734444469213485,-2,-2,-2,-2,0.6584163379471875,0.6584163379471875,0.6659809518057795,0.5456666693091392,-2,-2,-2,-2,1398,1398,Run-CAAFE,10,Jungle-Chess
Jungle-Chess,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,2,0,Yes,0,0,1255.424158334732,1255.4106600284576,0.9990009933541074,0.9990009933541074,0.999255452163338,0.9832962930202483,-2,-2,-2,-2,0.9242201563134914,0.9242201563134914,0.9360752025956698,0.8093333303928375,-2,-2,-2,-2,1398,4859,Run-CAAFE,10,Jungle-Chess
Jungle-Chess,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,3,0,Yes,0,0,1255.424158334732,1255.4106600284576,0.9991604246374768,0.9991604246374768,0.999304506076076,0.9847407460212708,-2,-2,-2,-2,0.9245951739076964,0.9245951739076964,0.9361699351165418,0.8069999992847443,-2,-2,-2,-2,1398,6801,Run-CAAFE,10,Jungle-Chess
Jungle-Chess,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,4,0,Yes,0,0,1255.424158334732,1255.4106600284576,0.9909072111100332,0.9909072111100332,0.9911228486710784,0.9291851967573166,-2,-2,-2,-2,0.9057253012825914,0.9057253012825914,0.9143983064586484,0.7720000058412552,-2,-2,-2,-2,1398,8877,Run-CAAFE,10,Jungle-Chess
Jungle-Chess,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,5,0,Yes,0,0,1255.424158334732,1255.4106600284576,0.9899385319789872,0.9899385319789872,0.9898107448431092,0.928555554151535,-2,-2,-2,-2,0.9052121802606744,0.9052121802606744,0.9128476004063903,0.7656666666269303,-2,-2,-2,-2,1398,11039,Run-CAAFE,10,Jungle-Chess
Jungle-Chess,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,6,0,Yes,0,0,1255.424158334732,1255.4106600284576,0.987665109202566,0.987665109202566,0.98991089488149,0.9170740693807602,-2,-2,-2,-2,0.8620442662649805,0.8620442662649805,0.8777261720152723,0.748666661977768,-2,-2,-2,-2,1398,13284,Run-CAAFE,10,Jungle-Chess
Jungle-Chess,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,7,0,Yes,0,0,1255.424158334732,1255.4106600284576,0.9836386148306344,0.9836386148306344,0.9873283643621094,0.9095185160636902,-2,-2,-2,-2,0.8594010388542476,0.8594010388542476,0.8786500040370242,0.736666664481163,-2,-2,-2,-2,1398,15612,Run-CAAFE,10,Jungle-Chess
Jungle-Chess,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,8,0,Yes,0,0,1255.424158334732,1255.4106600284576,0.9993270941390164,0.9993270941390164,0.9994168811972376,0.9862592607736588,-2,-2,-2,-2,0.9279241763412852,0.9279241763412852,0.9386443143875228,0.8139999985694886,-2,-2,-2,-2,1398,18023,Run-CAAFE,10,Jungle-Chess
Jungle-Chess,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,9,0,Yes,0,0,1255.424158334732,1255.4106600284576,0.9988069730693072,0.9988069730693072,0.9989649410712031,0.9779259353876114,-2,-2,-2,-2,0.9306679619424338,0.9306679619424338,0.9409966255531024,0.8160000056028366,-2,-2,-2,-2,1398,20504,Run-CAAFE,10,Jungle-Chess
