dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID,dataset_name_orig
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,1,Yes,0.0048108100891113,15.905288457870483,0.8481884002685547,0.8347294330596924,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9994766746411484,-2.0,-2.0,0.9875,0.990228013029316,-2.0,-2.0,-2.0,1757,1757,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,2,Yes,0.0048108100891113,21.744871139526367,20.33303713798523,0.4450926780700683,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1757,3496,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,1,Yes,0.0048108100891113,20.39736795425415,0.2372384071350097,0.2273023128509521,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9991776315789472,-2.0,-2.0,0.9875,0.9901639344262296,-2.0,-2.0,-2.0,1757,1757,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,1,Yes,0.0048108100891113,17.977426767349243,0.2035977840423584,0.1936767101287841,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9739832535885168,-2.0,-2.0,0.9791666666666666,0.98371335504886,-2.0,-2.0,-2.0,1757,1757,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,2,Yes,0.0048108100891113,17.141292572021484,14.554609775543211,0.1950361728668213,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.951255980861244,-2.0,-2.0,0.9625,0.9710610932475884,-2.0,-2.0,-2.0,1757,3260,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,1,Yes,0.0048108100891113,20.779507398605347,0.3624839782714844,0.3524866104125976,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.9916666666666668,0.9934640522875816,-2.0,-2.0,-2.0,1757,1757,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,7,2,Yes,0.0048108100891113,22.759811639785767,20.443211793899536,0.6470544338226318,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1757,3497,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,8,2,Yes,0.0048108100891113,24.118715047836304,22.442658185958862,0.3504769802093506,0.992737082382237,-2.0,-2.0,0.9930362116991645,0.9947201689545936,-2.0,-2.0,-2.0,0.9569377990430622,-2.0,-2.0,0.9666666666666668,0.9741935483870968,-2.0,-2.0,-2.0,1757,3603,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,9,1,Yes,0.0048108100891113,19.27833867073059,0.2360477447509765,0.2261712551116943,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9990281100478468,-2.0,-2.0,0.9875,0.9901639344262296,-2.0,-2.0,-2.0,1757,1757,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
Tic-Tac-Toe,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,10,1,Yes,0.0048108100891113,16.632595777511597,0.2324156761169433,0.2226057052612304,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.99839264354067,-2.0,-2.0,0.9875,0.990228013029316,-2.0,-2.0,-2.0,1757,1757,Gen-and-Run-Pipeline,4,Tic-Tac-Toe
