dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID,dataset_name_orig
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,1,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8731819414793108,0.8731819414793108,0.8760344615720689,0.6983679503202438,-2,-2,-2,-2,0.7310829729223565,0.7310829729223565,0.7369567061367698,0.5616953283548355,-2,-2,-2,-2,1935,1935,Run-CAAFE,8,CMC
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,2,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8621482483106713,0.8621482483106713,0.8654128993871142,0.6845796853303909,-2,-2,-2,-2,0.7334686018820626,0.7334686018820626,0.7389359558375024,0.5571457788348197,-2,-2,-2,-2,1935,4007,Run-CAAFE,8,CMC
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,3,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8616529655218702,0.8616529655218702,0.865393901938398,0.682616901397705,-2,-2,-2,-2,0.7321615294996252,0.7321615294996252,0.7378971109551503,0.5612285032868385,-2,-2,-2,-2,1935,6157,Run-CAAFE,8,CMC
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,4,0,Yes,0,0,971.4723281860352,971.4555299282074,0.871979743983851,0.871979743983851,0.8737347211613405,0.6896620899438858,-2,-2,-2,-2,0.7334830788463854,0.7334830788463854,0.738385396845738,0.5589353024959565,-2,-2,-2,-2,1935,8380,Run-CAAFE,8,CMC
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,5,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8468583016897469,0.8468583016897469,0.8489218859386405,0.6590157717466354,-2,-2,-2,-2,0.7360800134423874,0.7360800134423874,0.7411807858690147,0.5657371029257774,-2,-2,-2,-2,1935,10710,Run-CAAFE,8,CMC
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,6,0,Yes,0,0,971.4723281860352,971.4555299282074,0.839718700943304,0.839718700943304,0.843611790501328,0.6578088372945785,-2,-2,-2,-2,0.7338732545373009,0.7338732545373009,0.7395176396933331,0.5644021332263947,-2,-2,-2,-2,1935,13121,Run-CAAFE,8,CMC
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,7,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8370835861542567,0.8370835861542567,0.8394248251193221,0.6498587250709533,-2,-2,-2,-2,0.7357098281118946,0.7357098281118946,0.7409514707795986,0.5648484840989113,-2,-2,-2,-2,1935,15639,Run-CAAFE,8,CMC
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,8,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8532445505616778,0.8532445505616778,0.8544128933419207,0.6689293384552002,-2,-2,-2,-2,0.7379713523717163,0.7379713523717163,0.7422498151775364,0.5671130269765854,-2,-2,-2,-2,1935,18247,Run-CAAFE,8,CMC
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,9,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8519346345749895,0.8519346345749895,0.8530554472545837,0.6663120716810227,-2,-2,-2,-2,0.7375774189173014,0.7375774189173014,0.7418829304498706,0.5634848549962044,-2,-2,-2,-2,1935,20930,Run-CAAFE,8,CMC
CMC,CAAFE,,gemini-1.5-pro-latest,TabPFN,multiclass,True,10,0,Yes,0,0,971.4723281860352,971.4555299282074,0.8432729990886857,0.8432729990886857,0.8467237912560497,0.6578585833311081,-2,-2,-2,-2,0.7352647923534021,0.7352647923534021,0.7404605007905631,0.5594103172421455,-2,-2,-2,-2,1935,23691,Run-CAAFE,8,CMC
