dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID,dataset_name_orig
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,Yes,0.000988483428955,15.035944938659668,0.494551420211792,0.4875674247741699,-2.0,1.0,1.0,1.0,-2.0,0.1571793467830561,-2.0,-2.0,-2.0,0.8615227478032357,0.8773998471422093,0.786,-2.0,0.5785149935181265,-2.0,-2.0,1686,1686,Gen-and-Run-Pipeline,10,Jungle-Chess
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,Yes,0.000988483428955,15.699769020080566,0.3661785125732422,0.3589053153991699,-2.0,1.0,1.0,1.0,-2.0,0.1567591675077873,-2.0,-2.0,-2.0,0.8675070356472795,0.8812260420348469,0.798,-2.0,0.5791811049146124,-2.0,-2.0,1682,1682,Gen-and-Run-Pipeline,10,Jungle-Chess
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,3,1,Yes,0.000988483428955,14.863330125808716,0.6237077713012695,0.6167137622833252,-2.0,1.0,1.0,1.0,-2.0,0.1553209309053009,-2.0,-2.0,-2.0,0.8633914978427173,0.878961315481309,0.784,-2.0,0.578676251475617,-2.0,-2.0,1621,1621,Gen-and-Run-Pipeline,10,Jungle-Chess
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,4,1,Yes,0.000988483428955,14.994169235229492,0.3671004772186279,0.3600153923034668,-2.0,1.0,1.0,1.0,-2.0,0.1572994574632649,-2.0,-2.0,-2.0,0.8692769233927771,0.8843022980199601,0.794,-2.0,0.5772093926532128,-2.0,-2.0,1686,1686,Gen-and-Run-Pipeline,10,Jungle-Chess
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,5,1,Yes,0.000988483428955,14.778371810913086,0.3705520629882812,0.3635015487670898,-2.0,1.0,1.0,1.0,-2.0,0.1573137402098845,-2.0,-2.0,-2.0,0.8663412581095509,0.8814787460248485,0.788,-2.0,0.5829482059163573,-2.0,-2.0,1688,1688,Gen-and-Run-Pipeline,10,Jungle-Chess
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,6,1,Yes,0.000988483428955,14.358865022659302,0.4771807193756103,0.4701564311981201,-2.0,1.0,1.0,1.0,-2.0,0.1573180648923574,-2.0,-2.0,-2.0,0.8683857414040341,0.8828204910821168,0.786,-2.0,0.5763630997514115,-2.0,-2.0,1676,1676,Gen-and-Run-Pipeline,10,Jungle-Chess
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,7,1,Yes,0.000988483428955,15.201452493667604,0.4901149272918701,0.4830615520477295,-2.0,1.0,1.0,1.0,-2.0,0.157728702926712,-2.0,-2.0,-2.0,0.8670278851681291,0.883303986745562,0.788,-2.0,0.5793352403417877,-2.0,-2.0,1681,1681,Gen-and-Run-Pipeline,10,Jungle-Chess
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,8,1,Yes,0.000988483428955,14.918584823608398,0.3680958747863769,0.361093521118164,-2.0,1.0,1.0,1.0,-2.0,0.1560290887160921,-2.0,-2.0,-2.0,0.8685420891213574,0.8843606522988186,0.784,-2.0,0.5732839935057812,-2.0,-2.0,1694,1694,Gen-and-Run-Pipeline,10,Jungle-Chess
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,9,1,Yes,0.000988483428955,15.052288055419922,0.3589920997619629,0.3519163131713867,-2.0,1.0,1.0,1.0,-2.0,0.1581920719362932,-2.0,-2.0,-2.0,0.8593544497507913,0.875303872956143,0.786,-2.0,0.5870421432496878,-2.0,-2.0,1687,1687,Gen-and-Run-Pipeline,10,Jungle-Chess
Jungle-Chess,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,10,1,Yes,0.000988483428955,14.778050184249878,0.5296905040740967,0.522637128829956,-2.0,1.0,1.0,1.0,-2.0,0.1570618766156105,-2.0,-2.0,-2.0,0.8691447779862415,0.8837314224543803,0.782,-2.0,0.5758147238962058,-2.0,-2.0,1684,1684,Gen-and-Run-Pipeline,10,Jungle-Chess
