dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,ID,dataset_name_orig
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,1,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.993192668455068,0.993192668455068,0.9933235033776322,0.9818455159664154,-2,-2,-2,-2,1073,1073,Run-CAAFE,7,Balance-Scale
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,2,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,0.997849214076996,-2,-2,-2,-2,1073,2335,Run-CAAFE,7,Balance-Scale
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,3,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,3665,Run-CAAFE,7,Balance-Scale
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,4,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,5067,Run-CAAFE,7,Balance-Scale
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,5,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,6543,Run-CAAFE,7,Balance-Scale
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,6,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,0.99610785999595,0.99610785999595,0.9963326161792804,0.988274747133255,-2,-2,-2,-2,1073,8132,Run-CAAFE,7,Balance-Scale
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,7,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,9805,Run-CAAFE,7,Balance-Scale
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,8,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,11542,Run-CAAFE,7,Balance-Scale
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,9,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,13347,Run-CAAFE,7,Balance-Scale
Balance-Scale,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,10,0,Yes,0,0,115.3573305606842,115.3468942642212,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1.0,1.0,1.0,1.0,-2,-2,-2,-2,1073,15224,Run-CAAFE,7,Balance-Scale
