dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
credit-g,YES,S,Random,0,1410,3,18,0,0
credit-g,YES,SDVC,Random,0,1535,3,18,0,0
credit-g,YES,SMVF,Random,0,1615,3,18,0,0
credit-g,YES,SSN,Random,0,1879,3,18,0,0
credit-g,YES,SCV,Random,0,1570,3,18,0,0
credit-g,YES,SDVCMVF,Random,0,1765,3,18,0,0
credit-g,YES,SDVCSN,Random,0,2008,3,18,0,0
credit-g,YES,SMVFSN,Random,0,2087,3,18,0,0
credit-g,YES,SMVFCV,Random,0,1778,3,18,0,0
credit-g,YES,SSNCV,Random,0,2043,3,18,0,0
credit-g,YES,ALL,Random,0,2235,3,18,0,0
credit-g,YES,CatDB,Random,0,2170,3,18,0,0
credit-g,NO,S,Random,0,1102,3,18,0,0
credit-g,NO,SDVC,Random,0,1227,3,18,0,0
credit-g,NO,SMVF,Random,0,1307,3,18,0,0
credit-g,NO,SSN,Random,0,1571,3,18,0,0
credit-g,NO,SCV,Random,0,1262,3,18,0,0
credit-g,NO,SDVCMVF,Random,0,1457,3,18,0,0
credit-g,NO,SDVCSN,Random,0,1700,3,18,0,0
credit-g,NO,SMVFSN,Random,0,1779,3,18,0,0
credit-g,NO,SMVFCV,Random,0,1470,3,18,0,0
credit-g,NO,SSNCV,Random,0,1735,3,18,0,0
credit-g,NO,ALL,Random,0,1927,3,18,0,0
credit-g,NO,CatDB,Random,0,1862,3,18,0,0
