dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
dataset_2,Conf-1,Random,0,940,0,7,0,14
dataset_2,Conf-2,Random,0,1070,0,7,0,14
dataset_2,Conf-3,Random,0,1149,0,7,0,14
dataset_2,Conf-4,Random,0,1138,0,7,0,14
dataset_2,Conf-5,Random,0,1104,0,7,0,14
dataset_2,Conf-6,Random,0,1305,0,7,0,14
dataset_2,Conf-7,Random,0,1352,0,7,0,14
dataset_2,Conf-8,Random,0,1318,0,7,0,14
dataset_2,Conf-9,Random,0,1307,0,7,0,14
dataset_2,Conf-10,Random,0,1496,0,7,0,14
