dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
oml_dataset_79_rnc,S,Random,0,913,0,1,4,0
oml_dataset_79_rnc,SDVC,Random,0,959,0,1,4,0
oml_dataset_79_rnc,SMVF,Random,0,974,0,1,4,0
oml_dataset_79_rnc,SSN,Random,0,1054,0,1,4,0
oml_dataset_79_rnc,SCV,Random,0,961,0,1,4,0
oml_dataset_79_rnc,SDVCMVF,Random,0,1029,0,1,4,0
oml_dataset_79_rnc,SDVCSN,Random,0,1104,0,1,4,0
oml_dataset_79_rnc,SMVFSN,Random,0,1118,0,1,4,0
oml_dataset_79_rnc,SMVFCV,Random,0,1025,0,1,4,0
oml_dataset_79_rnc,SSNCV,Random,0,1106,0,1,4,0
oml_dataset_79_rnc,ALL,Random,0,1145,0,1,4,0
