dataset,time
Higgs,65117
Albert,4102
Click-Prediction,3210
Census-Augmented,3108
Heart-Statlog,1694
KDDCup99,16620
Road-Safety,3191
Drug-Directory,1388
Okcupid-Stem,655
Walking-Activity,551
PASS,6268
Aloi,1122
MD-MIX-Mini,861
Dionis,4035
Meta-Album-BRD,489
Balance-Scale,460
Breast-w,475
CMC,475
Credit-g,532
Diabetes,450
Tic-Tac-Toe,463
Eucalyptus,464
PC1,472
Airlines,804
Jungle-Chess,459
