dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Tic-Tac-Toe,CatDB,,gpt-4o,Auto,binary,True,1,2,Yes,0.0642035007476806,14.23200297355652,24.61945009231568,0.850670576095581,1.0,1.0,-1.0,-1,-1,0.9457328385899816,0.9598076262452764,-1.0,-1,-1
Tic-Tac-Toe,CatDB,,gpt-4o,Auto,binary,True,2,2,Yes,0.0642035007476806,13.76828122138977,22.462085008621216,0.1530075073242187,1.0,0.0,-1.0,-1,-1,1.0,0.0,-1.0,-1,-1
Tic-Tac-Toe,CatDB,,gpt-4o,Auto,binary,False,3,0,Yes,0.0642035007476806,7.017602443695068,136.74969291687012,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Tic-Tac-Toe,CatDB,,gpt-4o,Auto,binary,True,4,1,Yes,0.0642035007476806,13.61282730102539,13.77756404876709,0.1597137451171875,1.0,1.0,-1.0,-1,-1,1.0,1.0,-1.0,-1,-1
Airlines,CatDB,,gpt-4o,Auto,binary,False,0,0,Yes,0.0473942756652832,8.798999071121216,136.19812941551208,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Airlines,CatDB,,gpt-4o,Auto,binary,False,1,0,Yes,0.0473942756652832,12.128746032714844,158.10508799552915,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Airlines,CatDB,,gpt-4o,Auto,binary,True,2,5,Yes,0.0473942756652832,14.292964220046995,44.26247477531433,0.3466453552246094,1.0,1.0,-1.0,-1,-1,0.628,0.4861878453038674,-1.0,-1,-1
Airlines,CatDB,,gpt-4o,Auto,binary,True,3,8,Yes,0.0473942756652832,13.894962549209597,66.58470797538757,0.7156882286071777,0.988,0.9864712514092446,-1.0,-1,-1,0.988,0.9848484848484848,-1.0,-1,-1
Airlines,CatDB,,gpt-4o,Auto,binary,True,4,7,Yes,0.0473942756652832,10.670764923095703,61.78398942947388,0.714005708694458,0.998,0.9978181818181818,-1.0,-1,-1,0.64,0.5027624309392266,-1.0,-1,-1
Jungle-Chess,CatDB,,gpt-4o,Auto,multiclass,True,0,5,Yes,0.06790804862976074,7.5655364990234375,41.194554805755615,3.7658448219299316,0.5053333333333333,-1.0,5.788347772342424,-1,-1,0.528,-1.0,5.032917061588222,-1,-1
Eucalyptus,CatDB,,gpt-4o,Auto,multiclass,True,0,5,Yes,0.0114457607269287,8.978400945663452,36.22484517097473,0.2747457027435303,1.0,-1.0,0.2010934326991679,-1,-1,0.6141304347826086,-1.0,0.8354131944990671,-1,-1
Eucalyptus,CatDB,,gpt-4o,Auto,multiclass,False,1,0,Yes,0.0114457607269287,9.177884340286257,164.23132371902466,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Eucalyptus,CatDB,,gpt-4o,Auto,multiclass,True,2,3,Yes,0.0114457607269287,8.813512325286865,22.29924154281616,0.3731336593627929,1.0,-1.0,0.1998126585758693,-1,-1,0.6141304347826086,-1.0,0.8166337446050198,-1,-1
Eucalyptus,CatDB,,gpt-4o,Auto,multiclass,False,3,0,Yes,0.0114457607269287,11.481399297714232,175.89750576019287,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Eucalyptus,CatDB,,gpt-4o,Auto,multiclass,True,4,3,Yes,0.0114457607269287,10.506584405899048,24.11670422554016,0.2540538311004638,1.0,-1.0,0.2021999505189474,-1,-1,0.6358695652173914,-1.0,0.8486810032014919,-1,-1
PC1,CatDB,,gpt-4o,Auto,binary,True,0,2,Yes,0.0131406784057617,8.29108190536499,18.543561220169067,0.3527989387512207,0.9951865222623344,0.9649122807017544,-1.0,-1,-1,0.9388489208633094,0.2608695652173913,-1.0,-1,-1
PC1,CatDB,,gpt-4o,Auto,binary,False,1,0,Yes,0.0131406784057617,12.37370991706848,170.03303575515747,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
PC1,CatDB,,gpt-4o,Auto,binary,True,2,9,Yes,0.0131406784057617,12.529521465301514,90.50723266601562,1.1923978328704834,1.0,1.0,-1.0,-1,-1,0.9964028776978416,0.9714285714285714,-1.0,-1,-1
PC1,CatDB,,gpt-4o,Auto,binary,False,3,0,Yes,0.0131406784057617,14.646505117416382,179.45812726020813,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
PC1,CatDB,,gpt-4o,Auto,binary,True,4,4,Yes,0.0131406784057617,13.504536867141724,39.1754035949707,0.2986176013946533,1.0,1.0,-1.0,-1,-1,0.9964028776978416,0.9714285714285712,-1.0,-1,-1
Jungle-Chess,CatDB,,gpt-4o,Auto,multiclass,False,0,0,Yes,0.0079751014709472,8.84283709526062,187.7557272911072,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Jungle-Chess,CatDB,,gpt-4o,Auto,multiclass,True,1,1,Yes,0.0079751014709472,12.932021379470823,13.534579992294312,0.5922174453735352,1.0,-1.0,0.1569694032449919,-1,-1,0.788,-1.0,0.5758381348514134,-1,-1
Jungle-Chess,CatDB,,gpt-4o,Auto,multiclass,False,2,0,Yes,0.0079751014709472,9.497243881225586,363.882395029068,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Jungle-Chess,CatDB,,gpt-4o,Auto,multiclass,True,3,1,Yes,0.0079751014709472,8.439790487289429,9.073378324508669,0.6233091354370117,1.0,-1.0,0.1569694032449919,-1,-1,0.788,-1.0,0.5758381348514134,-1,-1
Jungle-Chess,CatDB,,gpt-4o,Auto,multiclass,True,4,1,Yes,0.007975101470947266,7.429215431213379,8.085612773895264,0.6461822986602783,1.0,-1.0,0.1564228500247318,-1,-1,0.78,-1.0,0.5825178113577897,-1,-1
